"RESOURCE_TYPE","DOI_NAME","DOI_TITLE","DOI_SPECIAL","DOI_CREATOR","DOI_DISTRIBUTOR","YEAR","URL","STATUS","PROVIDER","SUBMITTER"
"raster, vector, tabular","10.7927/5THT-JG22","Daily 8-Hour Maximum and Annual O3 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000 – 2016)","","Requia, W. J.|Wei, Y.|Shtein, A.|Xing, X.|Castro, E.|Di, Q.|Silvern, R.|Kelly, J.T.|Koutrakis, P.|Mickley, L. J. |Sulprizio, M. P.|Amini, H.|Hultquist, C.|Shi, L.|Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-o3-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H40Z716C","U.S. Census Grids (Summary File 1), 2010","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/usgrid-summary-file1-2010","Active","Socioeconomic Data and Applications Center",""
"raster, vector, tabular","10.7927/RZ28-P167","Daily and Annual NO2 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000 - 2016)","","Di, Q.|Wei, Y.|Shtein, A.|Xing, X.|Amini, H.|Hultquist, C.|Shi, L.|Kloog, I.|Silvern, R.|Kelly, J.|Sabath, M. B.|Choirat, C.|Koutrakis, P.|Lyapustin, A.|Wang, Y.|Mickley, L. J. |Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-no2-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster, vector, tabular","10.7927/G2N9-CA10","Daily and Annual PM2.5 Concentrations for the Contiguous United States, 1-km Grids, Version 1.10 (2000-2016)","","Di, Q.|Wei, Y.|Shtein, A.|Xing, X.|Castro, E.|Amini, H.|Hultquist, C.|Shi, L.|Kloog, I.|Silvern, R.|Kelly, J.|Sabath, M. B.|Choirat, C.|Koutrakis, P.|Lyapustin, A.|Wang, Y.|Mickley, L. J. |Daouk, Y.|Schwartz, J.","NASA Socioeconomic Data and Applications Center","2024","https://sedac.ciesin.columbia.edu/data/set/aqdh-pm2-5-concentrations-contiguous-us-1-km-v1-10-2000-2016","Active","Socioeconomic Data and Applications Center",""
"raster, map, map service","10.7927/M30P-J498","Global One-Eighth Degree Population Base Year and Projection Grids for the Shared Socioeconomic Pathways (SSPs), Revision 01","","Jones, B.|O'Neill, B. C.|Gao, J.","NASA Socioeconomic Data and Applications Center","2020","https://sedac.ciesin.columbia.edu/data/set/popdynamics-1-8th-pop-base-year-projection-ssp-2000-2100-rev01","Active","Socioeconomic Data and Applications Center",""
"file geodatabase; vector","10.7927/H4VD6WCT","Global Roads Open Access Data Set, Version 1 (gROADSv1)","","Center For International Earth Science Information Network-CIESIN-Columbia University|Information Technology Outreach Services-ITOS-University Of Georgia","NASA Socioeconomic Data and Applications Center","2013","https://sedac.ciesin.columbia.edu/data/set/groads-global-roads-open-access-v1","Active","Socioeconomic Data and Applications Center",""
"raster; map; map service","10.7927/H4DN434S","Global Human Built-up And Settlement Extent (HBASE) Dataset From Landsat","","Wang, P.|Huang, C.|Brown de Colstoun, E.C.|Tilton, J.C.|Tan, B.","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/ulandsat-hbase-v1","Active","Socioeconomic Data and Applications Center",""
"raster; map services","10.7927/H4P55KKF","Global Man-made Impervious Surface (GMIS) Dataset From Landsat","","Brown de Colstoun, E.C.|Huang, C.|Wang, P.|Tilton, J.C.|Tan, B.|Phillips, J.|Niemczura, S.|Ling, P.-Y.|Wolfe, R.E.","NASA Socioeconomic Data and Applications Center","2017","https://sedac.ciesin.columbia.edu/data/set/ulandsat-gmis-v1","Active","Socioeconomic Data and Applications Center",""
"raster, vector, map, map service","10.7927/H4TD9VDP","Gridded Population of the World, Version 4 (GPWv4): National Identifier Grid, Revision 11","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2018","https://sedac.ciesin.columbia.edu/data/set/gpw-v4-national-identifier-grid-rev11","Active","Socioeconomic Data and Applications Center",""
"raster, map","10.7927/6S2A-9R49","U.S. Social Vulnerability Index Grids","","Center For International Earth Science Information Network-CIESIN-Columbia University","NASA Socioeconomic Data and Applications Center","2021","https://beta.sedac.ciesin.columbia.edu/data/set/usgrid-us-social-vulnerability-index","Active","Socioeconomic Data and Applications Center",""
